file,line,original_excerpt,replacement,confidence
_docs/_partners/data_and_analytics/cohort_import/treasuredata.md,198,will be,is,rerun
_docs/_partners/data_and_analytics/cohort_import/treasuredata.md,198,will be,is,rerun
_docs/_partners/data_and_analytics/cohort_import/treasuredata.md,207,will be,is,rerun
_docs/_partners/data_and_analytics/cohort_import/treasuredata.md,212,will be,is,rerun
_docs/_partners/data_and_analytics/cohort_import/treasuredata.md,212,will be,is,rerun
_docs/_partners/data_and_analytics/cohort_import/treasuredata.md,216,will be,is,rerun
_docs/_partners/data_and_analytics/data_privacy/ketch.md,37,will be,is,rerun
_docs/_partners/data_and_analytics/data_privacy/ketch.md,60,You will,You,rerun
_docs/_partners/data_and_analytics/data_privacy/onetrust.md,53,will be,is,rerun
_docs/_partners/data_and_analytics/data_privacy/onetrust.md,53,will be,is,rerun
_docs/_partners/data_and_analytics/data_privacy/onetrust.md,60,will be,is,rerun
_docs/_partners/data_and_analytics/data_privacy/onetrust.md,60,will be,is,rerun
_docs/_partners/data_and_analytics/data_privacy/datagrail.md,19,will be added,is added,rerun
_docs/_partners/data_and_analytics/business_intelligence/looker.md,66,will be,is,rerun
_docs/_partners/data_and_analytics/business_intelligence/looker.md,100,will be,is,rerun
_docs/_partners/data_and_analytics/business_intelligence/looker.md,108,will be,is,rerun
_docs/_partners/data_and_analytics/business_intelligence/looker.md,113,will be,is,rerun
_docs/_partners/data_and_analytics/business_intelligence/datadog.md,37,will send,sends,rerun
_docs/_partners/data_and_analytics/business_intelligence/datadog.md,29,you will,you,rerun
_docs/_partners/data_and_analytics/business_intelligence/clarisights.md,28,will be,is,rerun
_docs/_partners/data_and_analytics/business_intelligence/clarisights.md,58,you will,you,rerun
_docs/_partners/data_and_analytics/business_intelligence/clarisights.md,64,will start,starts,rerun
_docs/_partners/data_and_analytics/ab_testing/vwo.md,38,will start,starts,rerun
_docs/_partners/data_and_analytics/ab_testing/kameleoon.md,46,You will,You,rerun
_docs/_partners/data_and_analytics/ab_testing/kameleoon.md,62,will be,is,rerun
_docs/_partners/data_and_analytics/ab_testing/kameleoon.md,90,will send,sends,rerun
_docs/_partners/data_and_analytics/ab_testing/kameleoon.md,96,will be,is,rerun
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,55,will be,is,rerun
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,60,will be,is,rerun
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,72,you will,you,rerun
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,72,you will,you,rerun
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,85,you will,you,rerun
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,100,will be,is,rerun
_docs/_partners/data_and_analytics/workflow_automation/fivetran.md,37,you will,you,rerun
_docs/_partners/data_and_analytics/workflow_automation/fivetran.md,87,will provide,provides,rerun
_docs/_partners/data_and_analytics/workflow_automation/fivetran.md,133,you will,you,rerun
_docs/_partners/data_and_analytics/workflow_automation/nexla.md,60,will update,updates,rerun
_docs/_partners/data_and_analytics/workflow_automation/zapier.md,26,will be,is,rerun
_docs/_partners/data_and_analytics/reverse_etl/census.md,43,will be,is,rerun
_docs/_partners/data_and_analytics/reverse_etl/census.md,39,you will,you,rerun
_docs/_partners/data_and_analytics/reverse_etl/census.md,49,you will,you,rerun
_docs/_partners/data_and_analytics/reverse_etl/hightouch/hightouch_cohort_import.md,18,you will,you,rerun
_docs/_partners/data_and_analytics/reverse_etl/hightouch/hightouch_cohort_import.md,27,will be added,is added,rerun
_docs/_partners/data_and_analytics/reverse_etl/census/census_cohort_import.md,30,will be,is,rerun
