nav_title,current_path,proposed_section,proposed_path,change_type,annotation,status
Event delivery semantics,_docs/_user_guide/data/distribution/braze_currents/event_delivery_semantics.md,Data > Distribution > Currents > Set up Currents > Event delivery semantics,_docs/_user_guide/data/distribution/currents/set_up_currents/event_delivery_semantics.md,unchanged,,
Currents event glossary,_docs/_user_guide/data/distribution/braze_currents/event_glossary.md,Data > Distribution > Currents > Currents event glossary,_docs/_user_guide/data/distribution/currents/currents_event_glossary.md,unchanged,,
Customer behavior and user events,_docs/_user_guide/data/distribution/braze_currents/event_glossary/customer_behavior_events.md,Data > Distribution > Currents > Currents event glossary > Customer behavior and user events,_docs/_user_guide/data/distribution/currents/currents_event_glossary/customer_behavior_and_user_events.md,unchanged,,
Message engagement events,_docs/_user_guide/data/distribution/braze_currents/event_glossary/message_engagement_events.md,Data > Distribution > Currents > Currents event glossary > Message engagement events,_docs/_user_guide/data/distribution/currents/currents_event_glossary/message_engagement_events.md,unchanged,,
Currents event changelogs,_docs/_user_guide/data/distribution/braze_currents/event_glossary/currents_changelogs.md,Data > Distribution > Currents > Currents event glossary > Currents event changelogs,_docs/_user_guide/data/distribution/currents/currents_event_glossary/currents_event_changelogs.md,unchanged,,
Use cases,_docs/_user_guide/data/unification/data_transformation/use_cases.md,Data > Distribution > Currents > Use cases,_docs/_user_guide/data/distribution/currents/use_cases.md,unchanged,,
Transfer data from Amazon S3 to Snowflake,_docs/_user_guide/data/distribution/braze_currents/s3_to_snowflake.md,Data > Distribution > Currents > Use cases > Transfer data from Amazon S3 to Snowflake,_docs/_user_guide/data/distribution/currents/use_cases/transfer_data_from_amazon_s3_to_snowflake.md,unchanged,,
Transfer data to Redshift,_docs/_user_guide/data/distribution/braze_currents/transferring_data_to_redshift.md,Data > Distribution > Currents > Use cases > Transfer data to Redshift,_docs/_user_guide/data/distribution/currents/use_cases/transfer_data_to_redshift.md,unchanged,,
How Braze uses Currents,_docs/_user_guide/data/distribution/braze_currents/how_braze_uses_currents.md,Data > Distribution > Currents > Use cases > How Braze uses Currents,_docs/_user_guide/data/distribution/currents/use_cases/how_braze_uses_currents.md,unchanged,,
FAQ,_docs/_user_guide/data/distribution/export_braze_data/faqs.md,Data > Distribution > Currents > FAQ,_docs/_user_guide/data/distribution/currents/faq.md,unchanged,,
