nav_title,current_path,proposed_section,proposed_path,change_type,annotation,status
In-app message templates,_docs/_user_guide/engagement_tools/canvas/create_a_canvas/canvas_by_channel/in-app_messages_in_canvas.md,Messaging > Templates > In-app message templates,_docs/_user_guide/messaging/templates/inapp_message_templates.md,moved,,
Custom templates,,Messaging > Templates > In-app message templates > Custom templates,_docs/_user_guide/messaging/templates/inapp_message_templates/custom_templates.md,new,new article with guidance on how to create and access their own templates,
Color profiles and CSS templates,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/color_profiles_and_css.md,Messaging > Templates > In-app message templates > Color profiles and CSS templates,_docs/_user_guide/messaging/templates/inapp_message_templates/color_profiles_and_css_templates.md,moved,,
Braze templates,_docs/_user_guide/engagement_tools/canvas/get_started/braze_templates.md,Messaging > Templates > In-app message templates > Braze templates,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates.md,moved,,
Onboarding flow,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/onboarding.md,Messaging > Templates > In-app message templates > Braze templates > Onboarding flow,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/onboarding_flow.md,moved,,
"SMS, RCS, and WhatsApp signup form",_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/phone_number_capture.md,"Messaging > Templates > In-app message templates > Braze templates > SMS, RCS, and WhatsApp signup form",_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/sms_rcs_and_whatsapp_signup_form.md,moved,,
Email sign-up form,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_capture.md,Messaging > Templates > In-app message templates > Braze templates > Email sign-up form,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/email_signup_form.md,moved,,
Email sign-up with discount,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_discount.md,Messaging > Templates > In-app message templates > Braze templates > Email sign-up with discount,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/email_signup_with_discount.md,moved,,
Email sign-up with image,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_image.md,Messaging > Templates > In-app message templates > Braze templates > Email sign-up with image,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/email_signup_with_image.md,moved,,
Email sign-up with offer,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_offer.md,Messaging > Templates > In-app message templates > Braze templates > Email sign-up with offer,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/email_signup_with_offer.md,moved,,
Email sign-up with confirmation,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_confirmation_page.md,Messaging > Templates > In-app message templates > Braze templates > Email sign-up with confirmation,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/email_signup_with_confirmation.md,moved,,
Product announcement,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/product_announcement.md,Messaging > Templates > In-app message templates > Braze templates > Product announcement,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/product_announcement.md,moved,,
Seasonal promption with image,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/seasonal_promo.md,Messaging > Templates > In-app message templates > Braze templates > Seasonal promption with image,_docs/_user_guide/messaging/templates/inapp_message_templates/braze_templates/seasonal_promption_with_image.md,moved,,
Managing templates,_docs/_user_guide/engagement_tools/templates_and_media/managing_templates.md,Messaging > Templates > Managing templates,_docs/_user_guide/messaging/templates/managing_templates.md,moved,,
Content Block library,_docs/_user_guide/engagement_tools/templates_and_media/content_blocks.md,Messaging > Templates > Content Block library,_docs/_user_guide/messaging/templates/content_block_library.md,moved,,
Personalize,_docs/_user_guide/engagement_tools/canvas/canvas_components/experiment_step/personalized_paths.md,Messaging > Personalize,_docs/_user_guide/messaging/personalize.md,moved,,
Dashboard tools,,Messaging > Personalize > Dashboard tools,_docs/_user_guide/messaging/personalize/dashboard_tools.md,new,"new article would explain the “Add personalization” modal/page in various editor views and “Liquid updates”. From: ""Insertting pre-formatted variables"" and ""Liquid updates""",
Preview personalization,,Messaging > Personalize > Preview personalization,_docs/_user_guide/messaging/personalize/preview_personalization.md,new,"new article would pull from sending test messages to explain how to preview personalization in a message. Could also cross-link to ""Preview user paths in Canvas""",
Sources,,Messaging > Personalize > Sources,_docs/_user_guide/messaging/personalize/sources.md,new,new landing page,
User profile fields,,Messaging > Personalize > Sources > User profile fields,_docs/_user_guide/messaging/personalize/sources/user_profile_fields.md,new,new article,
Catalog,_docs/_user_guide/data/activation/catalogs.md,Messaging > Personalize > Sources > Catalog,_docs/_user_guide/messaging/personalize/sources/catalog.md,moved,"currently ""Using catalogs in a message""",
Promotion codes,_docs/_user_guide/personalization_and_dynamic_content/promotion_codes.md,Messaging > Personalize > Sources > Promotion codes,_docs/_user_guide/messaging/personalize/sources/promotion_codes.md,moved,,
Canvas entry properties,_docs/_user_guide/personalization_and_dynamic_content/canvas_persistent_entry_properties.md,Messaging > Personalize > Sources > Canvas entry properties,_docs/_user_guide/messaging/personalize/sources/canvas_entry_properties.md,renamed,will be eventually renamed to “Context and event properties” w/ Context GA,
Context variables,_docs/_user_guide/engagement_tools/canvas/create_a_canvas/context_variables.md,Messaging > Personalize > Sources > Context variables,_docs/_user_guide/messaging/personalize/sources/context_variables.md,moved,,
Key-value pairs,_docs/_user_guide/personalization_and_dynamic_content/key_value_pairs.md,Messaging > Personalize > Sources > Key-value pairs,_docs/_user_guide/messaging/personalize/sources/keyvalue_pairs.md,moved,,
Actions and media URLs,,Messaging > Personalize > Actions and media URLs,_docs/_user_guide/messaging/personalize/actions_and_media_urls.md,new,"new article would be an explainer on personalizing action (button/link) and media (image/video) URLs using Liquid). Existing content to draw from: ""Deep linking to in-app content"" and ""Liquid personalization in URLs""",
Liquid reference,,Messaging > Personalize > Liquid reference,_docs/_user_guide/messaging/personalize/liquid_reference.md,new,new landing page,
Connected content reference,,Messaging > Personalize > Connected content reference,_docs/_user_guide/messaging/personalize/connected_content_reference.md,new,new landing page,
Channels,_docs/_user_guide/message_building_by_channel/push/android/notification_channels.md,Channels,_docs/_user_guide/channels.md,unchanged,"landing page provides context on the different channel types and how they are delivered. Two tile sections for ""In-product"" and ""Out-of-product""",
Banners,_docs/_user_guide/message_building_by_channel/banners.md,Channels > Banners,_docs/_user_guide/channels/banners.md,moved,landing page is an overview of the channel,
Create a Banner,_docs/_user_guide/message_building_by_channel/banners/create.md,Channels > Banners > Create a Banner,_docs/_user_guide/channels/banners/create_a_banner.md,moved,,
Reporting,_docs/_user_guide/message_building_by_channel/content_cards/reporting.md,Channels > Banners > Reporting,_docs/_user_guide/channels/banners/reporting.md,moved,,
FAQ,_docs/_user_guide/message_building_by_channel/banners/faq.md,Channels > Banners > FAQ,_docs/_user_guide/channels/banners/faq.md,moved,,
Content Cards,_docs/_user_guide/engagement_tools/canvas/create_a_canvas/canvas_by_channel/content-cards_in_canvas.md,Channels > Content Cards,_docs/_user_guide/channels/content_cards.md,moved,landing page is an overview of the channel,
Create a Content Card,_docs/_user_guide/message_building_by_channel/content_cards/create.md,Channels > Content Cards > Create a Content Card,_docs/_user_guide/channels/content_cards/create_a_content_card.md,moved,,
Creative details,_docs/_user_guide/message_building_by_channel/content_cards/creative_details.md,Channels > Content Cards > Creative details,_docs/_user_guide/channels/content_cards/creative_details.md,moved,,
Reporting,_docs/_user_guide/message_building_by_channel/email/reporting_and_analytics/email_reporting.md,Channels > Content Cards > Reporting,_docs/_user_guide/channels/content_cards/reporting.md,moved,,
Best practices,_docs/_user_guide/message_building_by_channel/content_cards/best_practices.md,Channels > Content Cards > Best practices,_docs/_user_guide/channels/content_cards/best_practices.md,moved,,
Email,_docs/_user_guide/message_building_by_channel/email.md,Channels > Email,_docs/_user_guide/channels/email.md,removed,"landing page is an overview of the channel. Includes content from ""Email services"" (then remove article",
Email setup,_docs/_user_guide/message_building_by_channel/email/email_setup.md,Channels > Email > Email setup,_docs/_user_guide/channels/email/email_setup.md,moved,,
Create an email,_docs/_user_guide/message_building_by_channel/email/drag_and_drop/overview.md,Channels > Email > Create an email,_docs/_user_guide/channels/email/create_an_email.md,moved,,
Customize,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize.md,Channels > Email > Customize,_docs/_user_guide/channels/email/customize.md,moved,,
Email global style settings,_docs/_user_guide/message_building_by_channel/email/drag_and_drop/dnd_email_style_settings.md,Channels > Email > Customize > Email global style settings,_docs/_user_guide/channels/email/customize/email_global_style_settings.md,moved,,
Custom email footer,_docs/_user_guide/message_building_by_channel/email/custom_email_footer.md,Channels > Email > Customize > Custom email footer,_docs/_user_guide/channels/email/customize/custom_email_footer.md,moved,,
AMP for email,_docs/_user_guide/message_building_by_channel/email/amphtml.md,Channels > Email > Customize > AMP for email,_docs/_user_guide/channels/email/customize/amp_for_email.md,moved,,
Universal links and app links,_docs/_user_guide/message_building_by_channel/email/universal_links.md,Channels > Email > Customize > Universal links and app links,_docs/_user_guide/channels/email/customize/universal_links_and_app_links.md,moved,,
Templates,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates.md,Channels > Email > Templates,_docs/_user_guide/channels/email/templates.md,moved,,
Subscriptions,_docs/_user_guide/message_building_by_channel/email/managing_user_subscriptions.md,Channels > Email > Subscriptions,_docs/_user_guide/channels/email/subscriptions.md,moved,,
Reporting,_docs/_user_guide/message_building_by_channel/in-app_messages/reporting.md,Channels > Email > Reporting,_docs/_user_guide/channels/email/reporting.md,moved,,
Use cases,_docs/_user_guide/engagement_tools/segments/segment_extension/sql_segments/use_cases.md,Channels > Email > Use cases,_docs/_user_guide/channels/email/use_cases.md,moved,,
Best practices,_docs/_user_guide/message_building_by_channel/email/best_practices.md,Channels > Email > Best practices,_docs/_user_guide/channels/email/best_practices.md,moved,,
Email guidelines,_docs/_user_guide/message_building_by_channel/email/best_practices/guidelines_and_tips.md,Channels > Email > Best practices > Email guidelines,_docs/_user_guide/channels/email/best_practices/email_guidelines.md,moved,,
Email styling,_docs/_user_guide/message_building_by_channel/email/best_practices/email_styling.md,Channels > Email > Best practices > Email styling,_docs/_user_guide/channels/email/best_practices/email_styling.md,moved,,
Sunset policies,_docs/_user_guide/message_building_by_channel/email/best_practices/sunset_policies.md,Channels > Email > Best practices > Sunset policies,_docs/_user_guide/channels/email/best_practices/sunset_policies.md,moved,,
Apple Mail,_docs/_user_guide/message_building_by_channel/email/apple_mail.md,Channels > Email > Best practices > Apple Mail,_docs/_user_guide/channels/email/best_practices/apple_mail.md,moved,,
Know before you send,_docs/_user_guide/message_building_by_channel/email/best_practices/know_before_send.md,Channels > Email > Best practices > Know before you send,_docs/_user_guide/channels/email/best_practices/know_before_you_send.md,moved,,
FAQ,_docs/_user_guide/message_building_by_channel/email/drag_and_drop/faq.md,Channels > Email > FAQ,_docs/_user_guide/channels/email/faq.md,merged,"Fold ""Duplicate emails"" into FAQs. Remove ""Duplicate emails"" article.",
Transactional email,_docs/_user_guide/message_building_by_channel/email/transactional_message_api_campaign/tracking_transactional_emails.md,Channels > Transactional email,_docs/_user_guide/channels/transactional_email.md,moved,landing page is an overview of the channel,
Create a transactional email,_docs/_user_guide/message_building_by_channel/email/transactional_message_api_campaign/tracking_transactional_emails.md,Channels > Transactional email > Create a transactional email,_docs/_user_guide/channels/transactional_email/create_a_transactional_email.md,moved,,
Tracking,_docs/_user_guide/analytics/tracking.md,Channels > Transactional email > Tracking,_docs/_user_guide/channels/transactional_email/tracking.md,moved,,
In-app messages,_docs/_user_guide/message_building_by_channel/in-app_messages.md,Channels > In-app messages,_docs/_user_guide/channels/inapp_messages.md,moved,landing page is an overview of the channel,
Create an in-app message,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/create.md,Channels > In-app messages > Create an in-app message,_docs/_user_guide/channels/inapp_messages/create_an_inapp_message.md,moved,,
Message types,,Channels > In-app messages > Message types,_docs/_user_guide/channels/inapp_messages/message_types.md,new,"new landing page divides into two sections with tiles: ""Available in all editors"" = fullscreen and modal; ""Traditional editor only"" = remainder",
Fullscreen,_docs/_user_guide/message_building_by_channel/in-app_messages/creative_details/fullscreen.md,Channels > In-app messages > Message types > Fullscreen,_docs/_user_guide/channels/inapp_messages/message_types/fullscreen.md,moved,,
Modal,_docs/_user_guide/message_building_by_channel/in-app_messages/creative_details/modal.md,Channels > In-app messages > Message types > Modal,_docs/_user_guide/channels/inapp_messages/message_types/modal.md,moved,,
Slideup,_docs/_user_guide/message_building_by_channel/in-app_messages/creative_details/slideup.md,Channels > In-app messages > Message types > Slideup,_docs/_user_guide/channels/inapp_messages/message_types/slideup.md,moved,,
Custom HTML,_docs/_user_guide/data/activation/custom_data.md,Channels > In-app messages > Message types > Custom HTML,_docs/_user_guide/channels/inapp_messages/message_types/custom_html.md,moved,,
Email capture form,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/email_capture_form.md,Channels > In-app messages > Message types > Email capture form,_docs/_user_guide/channels/inapp_messages/message_types/email_capture_form.md,moved,,
Simple survey,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/templates/simple_survey.md,Channels > In-app messages > Message types > Simple survey,_docs/_user_guide/channels/inapp_messages/message_types/simple_survey.md,moved,,
Customize,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize.md,Channels > In-app messages > Customize,_docs/_user_guide/channels/inapp_messages/customize.md,moved,,
Style settings,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/style_settings.md,Channels > In-app messages > Customize > Style settings,_docs/_user_guide/channels/inapp_messages/customize/style_settings.md,moved,,
Dark mode themes,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/dark-mode.md,Channels > In-app messages > Customize > Dark mode themes,_docs/_user_guide/channels/inapp_messages/customize/dark_mode_themes.md,moved,,
Color profiles and CSS templates,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/color_profiles_and_css.md,Channels > In-app messages > Customize > Color profiles and CSS templates,_docs/_user_guide/channels/inapp_messages/customize/color_profiles_and_css_templates.md,moved,,
Video in custom HTML,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/video.md,Channels > In-app messages > Customize > Video in custom HTML,_docs/_user_guide/channels/inapp_messages/customize/video_in_custom_html.md,moved,,
Templates,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/templates.md,Channels > In-app messages > Templates,_docs/_user_guide/channels/inapp_messages/templates.md,moved,,
Reporting,_docs/_user_guide/message_building_by_channel/line/reporting.md,Channels > In-app messages > Reporting,_docs/_user_guide/channels/inapp_messages/reporting.md,moved,,
Best practices,_docs/_user_guide/message_building_by_channel/in-app_messages/best_practices.md,Channels > In-app messages > Best practices,_docs/_user_guide/channels/inapp_messages/best_practices.md,moved,,
FAQ,_docs/_user_guide/message_building_by_channel/in-app_messages/faq.md,Channels > In-app messages > FAQ,_docs/_user_guide/channels/inapp_messages/faq.md,moved,,
LINE,_docs/_user_guide/message_building_by_channel/line.md,Channels > LINE,_docs/_user_guide/channels/line.md,moved,landing page is an overview of the channel,
LINE setup,_docs/_user_guide/message_building_by_channel/line/line_setup.md,Channels > LINE > LINE setup,_docs/_user_guide/channels/line/line_setup.md,moved,,
Create a LINE message,_docs/_user_guide/message_building_by_channel/line/create.md,Channels > LINE > Create a LINE message,_docs/_user_guide/channels/line/create_a_line_message.md,moved,,
Message users,_docs/_user_guide/message_building_by_channel/line/messaging_users.md,Channels > LINE > Message users,_docs/_user_guide/channels/line/message_users.md,merged,Update existing page to pull child pages of LINE users to be child pages of Messaging users. Delete current config-only page.,
User management,_docs/_user_guide/message_building_by_channel/line/line_users/user_management.md,Channels > LINE > Message users > User management,_docs/_user_guide/channels/line/message_users/user_management.md,moved,,
Subscription groups,_docs/_user_guide/message_building_by_channel/whatsapp/user_subscription.md,Channels > LINE > Message users > Subscription groups,_docs/_user_guide/channels/line/message_users/subscription_groups.md,moved,,
Reporting,_docs/_user_guide/message_building_by_channel/push/push_reporting.md,Channels > LINE > Reporting,_docs/_user_guide/channels/line/reporting.md,moved,,
Live notifications,,Channels > Live notifications,_docs/_user_guide/channels/live_notifications.md,new,new article would be a marketer-facing overview of iOS Live Activities,
Push,_docs/_user_guide/message_building_by_channel/push.md,Channels > Push,_docs/_user_guide/channels/push.md,moved,"landing page is an overview of the channel, ""Types of push notifications"" is turned into a table and included",
Push setup,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/rcs/rcs_setup.md,Channels > Push > Push setup,_docs/_user_guide/channels/push/push_setup.md,moved,,
Push token lifecycle,_docs/_user_guide/data/unification/user_data/user_profile_lifecycle.md,Channels > Push > Push setup > Push token lifecycle,_docs/_user_guide/channels/push/push_setup/push_token_lifecycle.md,updated,"updates ""Push registration"" to focus only on covering technical enablement: can Braze deliver to this device?  explains how they are re created, updated, and reassigned.",
Push subscription states,_docs/_user_guide/message_building_by_channel/push.md,Channels > Push > Push setup > Push subscription states,_docs/_user_guide/channels/push/push_setup/push_subscription_states.md,updated,"updates ""Push enablement and subscription"" to only cover use intent: should this user receive push notifications? explains how tokens interact with subscription state",
Create a push message,_docs/_user_guide/message_building_by_channel/push/creating_a_push_message.md,Channels > Push > Create a push message,_docs/_user_guide/channels/push/create_a_push_message.md,updated,update article,
Message and image formats,_docs/_user_guide/message_building_by_channel/push/best_practices/message_format.md,Channels > Push > Create a push message > Message and image formats,_docs/_user_guide/channels/push/create_a_push_message/message_and_image_formats.md,moved,,
Push action buttons,_docs/_user_guide/message_building_by_channel/push/advanced_push_options/push_action_buttons.md,Channels > Push > Create a push message > Push action buttons,_docs/_user_guide/channels/push/create_a_push_message/push_action_buttons.md,moved,,
Push stories,_docs/_user_guide/message_building_by_channel/push/advanced_push_options/push_stories.md,Channels > Push > Create a push message > Push stories,_docs/_user_guide/channels/push/create_a_push_message/push_stories.md,moved,,
Quick push messages,_docs/_user_guide/message_building_by_channel/push/creating_a_push_message/quick_push.md,Channels > Push > Create a push message > Quick push messages,_docs/_user_guide/channels/push/create_a_push_message/quick_push_messages.md,moved,,
iOS,_docs/_user_guide/message_building_by_channel/in-app_messages/ios_app_rating_prompt.md,Channels > Push > Platform-specific resources > iOS,_docs/_user_guide/channels/push/platformspecific_resources/ios.md,moved,,
Notification options,_docs/_user_guide/message_building_by_channel/push/ios/notification_options.md,Channels > Push > Platform-specific resources > iOS > Notification options,_docs/_user_guide/channels/push/platformspecific_resources/ios/notification_options.md,moved,,
Rich notifications,_docs/_user_guide/message_building_by_channel/push/ios/rich_notifications.md,Channels > Push > Platform-specific resources > iOS > Rich notifications,_docs/_user_guide/channels/push/platformspecific_resources/ios/rich_notifications.md,moved,,
Custom app icon feature (iOS 10.3),_docs/_user_guide/message_building_by_channel/push/ios/customizable_app_icons.md,Channels > Push > Platform-specific resources > iOS > Custom app icon feature (iOS 10.3),_docs/_user_guide/channels/push/platformspecific_resources/ios/custom_app_icon_feature_ios_103.md,moved,,
Utilizing badge count,_docs/_user_guide/message_building_by_channel/push/ios/utilizing_badge_count.md,Channels > Push > Platform-specific resources > iOS > Utilizing badge count,_docs/_user_guide/channels/push/platformspecific_resources/ios/utilizing_badge_count.md,moved,,
Android,_docs/_user_guide/message_building_by_channel/push/android.md,Channels > Push > Platform-specific resources > Android,_docs/_user_guide/channels/push/platformspecific_resources/android.md,moved,,
Notification channels,_docs/_user_guide/message_building_by_channel/push/android/notification_channels.md,Channels > Push > Platform-specific resources > Android > Notification channels,_docs/_user_guide/channels/push/platformspecific_resources/android/notification_channels.md,moved,,
Notification options,_docs/_user_guide/message_building_by_channel/push/android/notification_options.md,Channels > Push > Platform-specific resources > Android > Notification options,_docs/_user_guide/channels/push/platformspecific_resources/android/notification_options.md,moved,,
Rich notifications,_docs/_user_guide/message_building_by_channel/push/android/rich_notifications.md,Channels > Push > Platform-specific resources > Android > Rich notifications,_docs/_user_guide/channels/push/platformspecific_resources/android/rich_notifications.md,moved,,
Advanced campaign settings,_docs/_user_guide/message_building_by_channel/push/android/advanced_campaign_settings.md,Channels > Push > Platform-specific resources > Android > Advanced campaign settings,_docs/_user_guide/channels/push/platformspecific_resources/android/advanced_campaign_settings.md,moved,,
Push Max,_docs/_user_guide/message_building_by_channel/push/android/push_max.md,Channels > Push > Platform-specific resources > Android > Push Max,_docs/_user_guide/channels/push/platformspecific_resources/android/push_max.md,moved,,
Web,_docs/_user_guide/message_building_by_channel/push/web.md,Channels > Push > Platform-specific resources > Web,_docs/_user_guide/channels/push/platformspecific_resources/web.md,moved,"current ""Web push"" article",
Best practices,_docs/_user_guide/message_building_by_channel/push/best_practices.md,Channels > Push > Best practices,_docs/_user_guide/channels/push/best_practices.md,moved,,
Troubleshooting,_docs/_user_guide/message_building_by_channel/push/troubleshooting.md,Channels > Push > Troubleshooting,_docs/_user_guide/channels/push/troubleshooting.md,merged,"Combine ""Common push error messages"" with this article",
FAQs,_docs/_user_guide/message_building_by_channel/push/faq.md,Channels > Push > FAQs,_docs/_user_guide/channels/push/faqs.md,moved,,
"SMS, MMS, and RCS",_docs/_user_guide/message_building_by_channel/sms_mms_rcs.md,"Channels > SMS, MMS, and RCS",_docs/_user_guide/channels/sms_mms_and_rcs.md,moved,landing page is an overview of the channel family,
Message setup,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/sms/sms_setup.md,"Channels > SMS, MMS, and RCS > Message setup",_docs/_user_guide/channels/sms_mms_and_rcs/message_setup.md,moved,,
"Create an SMS, MMS, or RCS message",_docs/_user_guide/message_building_by_channel/sms_mms_rcs/rcs/create.md,"Channels > SMS, MMS, and RCS > Create an SMS, MMS, or RCS message",_docs/_user_guide/channels/sms_mms_and_rcs/create_an_sms_mms_or_rcs_message.md,moved,,
Message features and optimization,_docs/_user_guide/engagement_tools/canvas/canvas_components/message_step.md,"Channels > SMS, MMS, and RCS > Message features and optimization",_docs/_user_guide/channels/sms_mms_and_rcs/message_features_and_optimization.md,moved,,
Link shortening,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/link_shortening.md,"Channels > SMS, MMS, and RCS > Message features and optimization > Link shortening",_docs/_user_guide/channels/sms_mms_and_rcs/message_features_and_optimization/link_shortening.md,moved,,
Custom domains,_docs/_user_guide/message_building_by_channel/whatsapp/whatsapp_campaign/custom_domains.md,"Channels > SMS, MMS, and RCS > Message features and optimization > Custom domains",_docs/_user_guide/channels/sms_mms_and_rcs/message_features_and_optimization/custom_domains.md,moved,,
Keyword processing,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/keywords.md,"Channels > SMS, MMS, and RCS > Message features and optimization > Keyword processing",_docs/_user_guide/channels/sms_mms_and_rcs/message_features_and_optimization/keyword_processing.md,moved,,
User retargeting,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/retargeting.md,"Channels > SMS, MMS, and RCS > Message features and optimization > User retargeting",_docs/_user_guide/channels/sms_mms_and_rcs/message_features_and_optimization/user_retargeting.md,moved,,
Bot click filtering,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/bot_click_filtering.md,"Channels > SMS, MMS, and RCS > Message features and optimization > Bot click filtering",_docs/_user_guide/channels/sms_mms_and_rcs/message_features_and_optimization/bot_click_filtering.md,moved,,
Billing calculator,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/segments.md,"Channels > SMS, MMS, and RCS > Billing calculator",_docs/_user_guide/channels/sms_mms_and_rcs/billing_calculator.md,moved,,
Reporting,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/campaign_analytics.md,"Channels > SMS, MMS, and RCS > Reporting",_docs/_user_guide/channels/sms_mms_and_rcs/reporting.md,moved,,
FAQ,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/mms/faqs.md,"Channels > SMS, MMS, and RCS > FAQ",_docs/_user_guide/channels/sms_mms_and_rcs/faq.md,moved,,
Webhooks,_docs/_user_guide/message_building_by_channel/webhooks.md,Channels > Webhooks,_docs/_user_guide/channels/webhooks.md,moved,landing page is an overview of the channel,
Create a webhook,_docs/_user_guide/message_building_by_channel/webhooks/creating_a_webhook.md,Channels > Webhooks > Create a webhook,_docs/_user_guide/channels/webhooks/create_a_webhook.md,moved,,
Templates,_docs/_user_guide/message_building_by_channel/email/templates.md,Channels > Webhooks > Templates,_docs/_user_guide/channels/webhooks/templates.md,moved,,
Reporting,_docs/_user_guide/message_building_by_channel/webhooks/reporting.md,Channels > Webhooks > Reporting,_docs/_user_guide/channels/webhooks/reporting.md,moved,,
Use case: Create a Braze-to-Braze webhook,_docs/_user_guide/message_building_by_channel/webhooks/braze_to_braze_webhooks.md,Channels > Webhooks > Use case: Create a Braze-to-Braze webhook,_docs/_user_guide/channels/webhooks/use_case_create_a_brazetobraze_webhook.md,moved,,
Use case: Create a lead-scoring workflow,_docs/_user_guide/brazeai/predictive_churn/use_case.md,Channels > Webhooks > Use case: Create a lead-scoring workflow,_docs/_user_guide/channels/webhooks/use_case_create_a_leadscoring_workflow.md,moved,,
WhatsApp,_docs/_user_guide/message_building_by_channel/whatsapp.md,Channels > WhatsApp,_docs/_user_guide/channels/whatsapp.md,moved,landing page is an overview of the channel,
WhatsApp setup,_docs/_user_guide/message_building_by_channel/whatsapp/overview.md,Channels > WhatsApp > WhatsApp setup,_docs/_user_guide/channels/whatsapp/whatsapp_setup.md,moved,,
Embedded signup,_docs/_user_guide/message_building_by_channel/whatsapp/overview/embedded_signup.md,Channels > WhatsApp > WhatsApp setup > Embedded signup,_docs/_user_guide/channels/whatsapp/whatsapp_setup/embedded_signup.md,moved,,
User phone numbers,_docs/_user_guide/message_building_by_channel/whatsapp/user_phone_numbers.md,Channels > WhatsApp > WhatsApp setup > User phone numbers,_docs/_user_guide/channels/whatsapp/whatsapp_setup/user_phone_numbers.md,moved,,
Subscription groups,_docs/_user_guide/message_building_by_channel/whatsapp/user_subscription.md,Channels > WhatsApp > WhatsApp setup > Subscription groups,_docs/_user_guide/channels/whatsapp/whatsapp_setup/subscription_groups.md,moved,,
Multiple business accounts,_docs/_user_guide/message_building_by_channel/whatsapp/overview/multiple_subscription_groups.md,Channels > WhatsApp > WhatsApp setup > Multiple business accounts,_docs/_user_guide/channels/whatsapp/whatsapp_setup/multiple_business_accounts.md,moved,,
WhatsApp phone numbers,_docs/_user_guide/message_building_by_channel/whatsapp/overview/phone_number_migration.md,Channels > WhatsApp > WhatsApp setup > WhatsApp phone numbers,_docs/_user_guide/channels/whatsapp/whatsapp_setup/whatsapp_phone_numbers.md,moved,,
Acquire a phone number,_docs/_user_guide/message_building_by_channel/whatsapp/user_phone_numbers.md,Channels > WhatsApp > WhatsApp setup > WhatsApp phone numbers > Acquire a phone number,_docs/_user_guide/channels/whatsapp/whatsapp_setup/whatsapp_phone_numbers/acquire_a_phone_number.md,moved,,
Transfer between workspaces,_docs/_user_guide/message_building_by_channel/whatsapp/overview/transfer_between_workspaces.md,Channels > WhatsApp > WhatsApp setup > WhatsApp phone numbers > Transfer between workspaces,_docs/_user_guide/channels/whatsapp/whatsapp_setup/whatsapp_phone_numbers/transfer_between_workspaces.md,moved,,
Create a WhatsApp message,_docs/_user_guide/message_building_by_channel/whatsapp/whatsapp_campaign/create.md,Channels > WhatsApp > Create a WhatsApp message,_docs/_user_guide/channels/whatsapp/create_a_whatsapp_message.md,moved,,
Message features and optimization,_docs/_user_guide/engagement_tools/canvas/canvas_components/message_step.md,Channels > WhatsApp > Message features and optimization,_docs/_user_guide/channels/whatsapp/message_features_and_optimization.md,moved,,
Optimized delivery,_docs/_user_guide/message_building_by_channel/whatsapp/whatsapp_campaign/optimized_delivery.md,Channels > WhatsApp > Message features and optimization > Optimized delivery,_docs/_user_guide/channels/whatsapp/message_features_and_optimization/optimized_delivery.md,moved,,
