current_path,nav_title,article_title,page_order,depth,parent_section,hidden,config_only
_docs/_user_guide/introduction.md,Home,Braze User Guide,0.0,0,,False,False
_docs/_user_guide/message_building_by_channel.md,Message building by channel,Message Building by Channel,5.0,0,,False,False
_docs/_user_guide/message_building_by_channel/banners.md,Banners,About Banners,0.0,1,message_building_by_channel,False,False
_docs/_user_guide/message_building_by_channel/banners/analytics.md,Banner analytics,Banner analytics,3.0,2,message_building_by_channel/banners,False,False
_docs/_user_guide/message_building_by_channel/banners/create.md,Create a Banner,Create a Banner,1.0,2,message_building_by_channel/banners,False,False
_docs/_user_guide/message_building_by_channel/banners/faq.md,FAQ,Banners: Frequently Asked Questions,10.0,2,message_building_by_channel/banners,False,False
_docs/_user_guide/message_building_by_channel/banners/testing.md,Testing,Testing,2.0,2,message_building_by_channel/banners,False,False
_docs/_user_guide/message_building_by_channel/content_cards.md,Content Cards,Content Cards,1.0,1,message_building_by_channel,False,False
_docs/_user_guide/message_building_by_channel/content_cards/best_practices.md,Best practices,Content Card Best Practices,20.0,2,message_building_by_channel/content_cards,False,False
_docs/_user_guide/message_building_by_channel/content_cards/best_practices/improving_low_latency_requirements.md,Improving low latency,Improve Low Latency for Content Cards as banners,10.0,3,message_building_by_channel/content_cards/best_practices,False,False
_docs/_user_guide/message_building_by_channel/content_cards/best_practices/know_before_send.md,Know before you send,Know before you send,999.0,3,message_building_by_channel/content_cards/best_practices,False,False
_docs/_user_guide/message_building_by_channel/content_cards/create.md,Create a Content Card,Create a Content Card,0.0,2,message_building_by_channel/content_cards,False,False
_docs/_user_guide/message_building_by_channel/content_cards/create/card_creation.md,Card creation,Card Creation,0.0,3,message_building_by_channel/content_cards/create,False,False
_docs/_user_guide/message_building_by_channel/content_cards/creative_details.md,Creative details,Creative Details for Content Cards,1.0,2,message_building_by_channel/content_cards,False,False
_docs/_user_guide/message_building_by_channel/content_cards/reporting.md,Reporting,Content Card Reporting,4.0,2,message_building_by_channel/content_cards,False,False
_docs/_user_guide/message_building_by_channel/content_cards/testing.md,Testing,Testing,3.0,2,message_building_by_channel/content_cards,False,False
_docs/_user_guide/message_building_by_channel/email.md,Email,Email,1.5,1,message_building_by_channel,False,False
_docs/_user_guide/message_building_by_channel/email/amphtml.md,AMP for email,AMP for Email,11.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/apple_mail.md,Apple Mail,Apple Mail,7.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/apple_mail/email_private_relay_apple_SSO.md,Send emails to Apple Private Relay,Send Emails to Apple Private Relay,0.0,3,message_building_by_channel/email/apple_mail,False,False
_docs/_user_guide/message_building_by_channel/email/apple_mail/mpp.md,Apple Mail Privacy Protection,Apple Mail Privacy Protection for iOS 15,1.0,3,message_building_by_channel/email/apple_mail,False,False
_docs/_user_guide/message_building_by_channel/email/best_practices.md,Best practices,Email Best Practices,14.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/best_practices/duplicate_emails.md,Duplicate emails,Duplicate Emails,7.0,3,message_building_by_channel/email/best_practices,False,False
_docs/_user_guide/message_building_by_channel/email/best_practices/email_services.md,Email services,Email Services,9.0,3,message_building_by_channel/email/best_practices,False,False
_docs/_user_guide/message_building_by_channel/email/best_practices/email_styling.md,Email styling,Email Styling,2.0,3,message_building_by_channel/email/best_practices,False,False
_docs/_user_guide/message_building_by_channel/email/best_practices/guidelines_and_tips.md,Email guidelines,Email Guidelines,1.0,3,message_building_by_channel/email/best_practices,False,False
_docs/_user_guide/message_building_by_channel/email/best_practices/know_before_send.md,Know before you send,Know before you send,999.0,3,message_building_by_channel/email/best_practices,False,False
_docs/_user_guide/message_building_by_channel/email/best_practices/sunset_policies.md,Sunset policies,Sunset Policies for Email,8.0,3,message_building_by_channel/email/best_practices,False,False
_docs/_user_guide/message_building_by_channel/email/best_practices/use_cases.md,Email use cases,Email Use Cases,3.0,3,message_building_by_channel/email/best_practices,False,False
_docs/_user_guide/message_building_by_channel/email/custom_email_footer.md,Custom email footer,Custom Email Footer,6.5,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/drag_and_drop.md,Drag-and-drop editor,Drag-And-Drop Editor for Email,3.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/drag_and_drop/dnd_content_blocks.md,Content Blocks,Drag-and-Drop Editor Content Blocks,2.0,3,message_building_by_channel/email/drag_and_drop,False,False
_docs/_user_guide/message_building_by_channel/email/drag_and_drop/dnd_editor_blocks.md,Editor blocks,Drag-and-drop editor blocks,1.0,3,message_building_by_channel/email/drag_and_drop,False,False
_docs/_user_guide/message_building_by_channel/email/drag_and_drop/dnd_email_style_settings.md,Email Global Style Settings,Email Global Style Settings,3.0,3,message_building_by_channel/email/drag_and_drop,False,False
_docs/_user_guide/message_building_by_channel/email/drag_and_drop/faq.md,FAQ,Drag-and-Drop Editor FAQ,5.0,3,message_building_by_channel/email/drag_and_drop,False,False
_docs/_user_guide/message_building_by_channel/email/drag_and_drop/overview.md,Create an email,Create an Email with Drag-and-Drop,0.0,3,message_building_by_channel/email/drag_and_drop,False,False
_docs/_user_guide/message_building_by_channel/email/email_setup.md,Email setup,Onboarding Email Setup,1.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/email_setup/authentication.md,Email authentication,Email Authentication,2.0,3,message_building_by_channel/email/email_setup,False,False
